,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
50Mb,493.0,51.08459873022313,2.2887921626581442,24.557124,51.187112,51.196936,51.216584,65.068423,-8.322232246437629,108.90094432006279
100Mb,497.0,102.31044265995976,2.092782251184999,72.768064,102.350504,102.37827,102.399624,118.85008,-10.272472071731535,167.70579995863525
150Mb,502.0,153.5570133266932,1.1812744746346804,140.28227,153.51389,153.54005999999998,153.58266,166.51342,-0.3994493817768643,119.89537404470602
500Mb,489.0,510.7558394417178,17.680065946441236,252.91587,511.60362,511.77552,512.276539,567.10854,-12.755007530920533,185.41058425011764
800Mb,463.0,811.1102696328294,30.051930378346054,599.33446,817.8521,818.82957,819.7382749999999,873.94694,-3.570130206727389,16.42831973694037
