,bytes,bits_per_second,jitter_ms,lost_packets,packets,lost_percent,kilobits_per_second,megabits_per_second,data_rate
0,1448.0,11582.0891214199,0.8256249999973875,0.0,2.0,0.0,11.5820891214199,0.0115820891214199,12.5kb
1,1448.0,11581.625303802188,3.4039609375011715,0.0,1.0,0.0,11.581625303802188,0.011581625303802188,12.5kb
2,1448.0,11584.892143288203,3.6920258789076845,0.0,1.0,0.0,11.584892143288203,0.011584892143288204,12.5kb
3,1448.0,11581.32439438387,3.5185867614733626,0.0,1.0,0.0,11.58132439438387,0.01158132439438387,12.5kb
4,1448.0,11584.845875513405,3.3991125888834923,0.0,1.0,0.0,11.584845875513405,0.011584845875513405,12.5kb
5,1448.0,11583.131466186973,3.3270430520791328,0.0,1.0,0.0,11.583131466186973,0.011583131466186973,12.5kb
6,1448.0,11581.023500601375,3.127727861323727,0.0,1.0,0.0,11.581023500601376,0.011581023500601376,12.5kb
7,1448.0,11585.29752004386,3.428869869987692,0.0,1.0,0.0,11.58529752004386,0.01158529752004386,12.5kb
8,1448.0,11582.81805273853,3.7252530031101814,0.0,1.0,0.0,11.58281805273853,0.01158281805273853,12.5kb
9,1448.0,11583.548456627688,3.5991746904162834,0.0,1.0,0.0,11.583548456627689,0.011583548456627688,12.5kb
10,1448.0,11583.397949992872,3.405226272265158,0.0,1.0,0.0,11.583397949992872,0.011583397949992871,12.5kb
11,1448.0,11580.780588587215,3.680774630244796,0.0,1.0,0.0,11.580780588587215,0.011580780588587214,12.5kb
12,1448.0,11584.33626388076,3.6308512158544715,0.0,1.0,0.0,11.58433626388076,0.01158433626388076,12.5kb
13,1448.0,11594.75975982551,3.3776465764403136,0.0,2.0,0.0,11.59475975982551,0.011594759759825511,12.5kb
14,1448.0,11582.980970387918,3.3582936654189464,0.0,1.0,0.0,11.582980970387919,0.011582980970387919,12.5kb
15,1448.0,11583.652018510262,3.271587811331883,0.0,1.0,0.0,11.583652018510262,0.011583652018510263,12.5kb
16,1448.0,11580.873059573181,3.1326135731216933,0.0,1.0,0.0,11.58087305957318,0.011580873059573182,12.5kb
17,1448.0,11585.066168675687,3.1142002248014,0.0,1.0,0.0,11.585066168675686,0.011585066168675686,12.5kb
18,1448.0,11581.474847138474,3.01893771075621,0.0,1.0,0.0,11.581474847138473,0.011581474847138474,12.5kb
19,1448.0,11584.764389883256,2.9110666038288673,0.0,1.0,0.0,11.584764389883256,0.011584764389883255,12.5kb
20,1448.0,11583.421423247297,2.9159999410867075,0.0,1.0,0.0,11.583421423247296,0.011583421423247297,12.5kb
