,bytes,bits_per_second,jitter_ms,lost_packets,packets,lost_percent,kilobits_per_second,megabits_per_second,data_rate
0,1002016.0,8014276.480913638,0.5117474152659712,0.0,692.0,0.0,8014.276480913638,8.014276480913638,8Mb
1,999120.0,7993447.40486474,0.581926454765561,0.0,690.0,0.0,7993.44740486474,7.99344740486474,8Mb
2,1000568.0,8003383.841514673,0.7741966919668043,0.0,691.0,0.0,8003.383841514673,8.003383841514673,8Mb
3,1000568.0,8007002.338084428,0.495457868701905,0.0,691.0,0.0,8007.002338084428,8.007002338084428,8Mb
4,999120.0,7991441.46942827,0.3388638385932472,0.0,690.0,0.0,7991.4414694282705,7.9914414694282705,8Mb
5,999120.0,7992927.603738484,0.9000002111312865,0.0,690.0,0.0,7992.927603738484,7.992927603738484,8Mb
6,1000568.0,8005736.947767342,0.4400640704044659,0.0,691.0,0.0,8005.736947767343,8.005736947767343,8Mb
7,999120.0,7991785.327002025,0.560034327637887,0.0,690.0,0.0,7991.785327002025,7.991785327002026,8Mb
8,1000568.0,8003087.177351973,0.6921706383662152,0.0,691.0,0.0,8003.087177351973,8.003087177351974,8Mb
9,1000568.0,8006577.473647548,0.5788779609339868,0.0,691.0,0.0,8006.577473647548,8.006577473647548,8Mb
10,999120.0,7991801.520470513,0.640304427205253,0.0,690.0,0.0,7991.801520470513,7.991801520470513,8Mb
11,999120.0,7992896.1605593255,0.6521127969515375,0.0,690.0,0.0,7992.896160559326,7.992896160559326,8Mb
12,1002016.0,8016649.312022175,0.659144713931158,0.0,692.0,0.0,8016.649312022175,8.016649312022174,8Mb
13,997672.0,7980793.752530986,0.4319529692337452,0.0,689.0,0.0,7980.793752530986,7.980793752530986,8Mb
14,1000568.0,8005456.8116894225,0.744719471099828,0.0,691.0,0.0,8005.4568116894225,8.005456811689422,8Mb
15,1000568.0,8004447.62534402,0.695870224615245,0.0,691.0,0.0,8004.447625344021,8.00444762534402,8Mb
16,999120.0,7992832.32213841,1.417636711151687,0.0,690.0,0.0,7992.83232213841,7.99283232213841,8Mb
17,1000568.0,8004656.121950904,0.8892533338837766,0.0,691.0,0.0,8004.656121950904,8.004656121950903,8Mb
18,999120.0,7992872.340133752,0.503477823510798,0.0,690.0,0.0,7992.872340133752,7.992872340133752,8Mb
19,1000568.0,8004896.121194448,0.3612633200484106,0.0,691.0,0.0,8004.896121194448,8.004896121194449,8Mb
20,1000568.0,8004272.05767817,0.56869176786089,0.0,691.0,0.0,8004.272057678169,8.00427205767817,8Mb
21,999120.0,7992927.603738484,0.5615851390635536,0.0,690.0,0.0,7992.927603738484,7.992927603738484,8Mb
22,1000568.0,8004392.282531152,0.503879244120703,0.0,691.0,0.0,8004.392282531152,8.004392282531152,8Mb
23,1000568.0,8005440.586350307,0.745956682118152,0.0,691.0,0.0,8005.440586350307,8.005440586350307,8Mb
24,999120.0,7992208.28382302,0.4688086324731846,0.0,690.0,0.0,7992.20828382302,7.99220828382302,8Mb
25,1000568.0,8004511.55678738,1.1654263346359126,0.0,691.0,0.0,8004.51155678738,8.00451155678738,8Mb
26,999120.0,7993255.86624461,0.7637663552987963,0.0,690.0,0.0,7993.255866244611,7.993255866244611,8Mb
27,999120.0,7993023.840460457,0.6409346965203193,0.0,690.0,0.0,7993.023840460457,7.993023840460457,8Mb
28,993328.0,7946345.500208728,0.8703197108482285,0.0,686.0,0.0,7946.345500208728,7.946345500208728,8Mb
29,1007808.0,8062722.069142766,0.717081974762867,0.0,696.0,0.0,8062.7220691427665,8.062722069142767,8Mb
30,1000568.0,8004432.35828472,0.541547979213622,0.0,691.0,0.0,8004.43235828472,8.00443235828472,8Mb
31,999120.0,7992792.30454378,0.6779872875210208,0.0,690.0,0.0,7992.79230454378,7.99279230454378,8Mb
32,1000568.0,8005392.387936696,0.8978325067769922,0.0,691.0,0.0,8005.392387936697,8.005392387936697,8Mb
33,999120.0,7993447.40486474,0.680890043378254,0.0,690.0,0.0,7993.44740486474,7.99344740486474,8Mb
34,1000568.0,8003615.6555079445,0.599786694493883,0.0,691.0,0.0,8003.615655507944,8.003615655507945,8Mb
35,999120.0,7991401.465759518,0.6685213371731745,0.0,690.0,0.0,7991.401465759518,7.991401465759518,8Mb
36,993328.0,7947387.132612147,2.08938196142686,0.0,686.0,0.0,7947.387132612147,7.947387132612147,8Mb
37,1006360.0,8051491.880549652,0.8435632796908287,0.0,695.0,0.0,8051.491880549652,8.051491880549651,8Mb
38,993328.0,7945329.236307856,1.1781849806491773,0.0,686.0,0.0,7945.329236307855,7.945329236307856,8Mb
39,997672.0,7981543.459446056,1.9701452400487625,0.0,689.0,0.0,7981.543459446056,7.981543459446056,8Mb
40,1009256.0,8074064.3625591,0.9737565810537283,0.0,697.0,0.0,8074.0643625591,8.074064362559099,8Mb
41,1000568.0,8006425.6790850535,0.8102304079488888,0.0,691.0,0.0,8006.425679085053,8.006425679085053,8Mb
42,991880.0,7933611.902039995,0.5536385808558524,0.0,685.0,0.0,7933.611902039996,7.933611902039996,8Mb
43,1006360.0,8050663.10467462,0.7759198657207386,0.0,695.0,0.0,8050.66310467462,8.05066310467462,8Mb
44,996224.0,7970525.524048872,0.923986107720555,0.0,688.0,0.0,7970.525524048872,7.970525524048872,8Mb
45,1004912.0,8039722.01304469,0.6824982125053327,0.0,694.0,0.0,8039.722013044689,8.03972201304469,8Mb
46,991880.0,7934658.808329134,0.7247039970901004,0.0,685.0,0.0,7934.658808329134,7.934658808329134,8Mb
